document_id,company,stock_code,document_type,source_file,page_number,failure_type,reason
600373_2024_annual_report_71f1564c,中文传媒,600373,annual_report,02_raw_pdf/600373_中文传媒/annual_report/600373_中文传媒2024年年度报告1783930992444.pdf,26,needs_ocr,extracted text has fewer than 40 characters
600373_2024_annual_report_71f1564c,中文传媒,600373,annual_report,02_raw_pdf/600373_中文传媒/annual_report/600373_中文传媒2024年年度报告1783930992444.pdf,250,needs_ocr,extracted text has fewer than 40 characters
600678_2024_reply_a6d5d374,四川金顶,600678,reply,02_raw_pdf/600678_四川金顶/reply/600678_四川金顶集团股份有限公司关于上海证券交易所对公司2024年年度报告的信息披露监管问询函的回复公告1784019190299.pdf,6,needs_ocr,extracted text has fewer than 40 characters
600678_2024_supporting_5af803c2,四川金顶,600678,supporting,02_raw_pdf/600678_四川金顶/supporting/600678_中审亚太关于四川金顶2024年年度报告的信息披露监管问询函的回复1784019190446.pdf,1,needs_ocr,extracted text has fewer than 40 characters
600678_2024_supporting_5af803c2,四川金顶,600678,supporting,02_raw_pdf/600678_四川金顶/supporting/600678_中审亚太关于四川金顶2024年年度报告的信息披露监管问询函的回复1784019190446.pdf,2,needs_ocr,extracted text has fewer than 40 characters
600678_2024_supporting_5af803c2,四川金顶,600678,supporting,02_raw_pdf/600678_四川金顶/supporting/600678_中审亚太关于四川金顶2024年年度报告的信息披露监管问询函的回复1784019190446.pdf,3,needs_ocr,extracted text has fewer than 40 characters
600678_2024_supporting_5af803c2,四川金顶,600678,supporting,02_raw_pdf/600678_四川金顶/supporting/600678_中审亚太关于四川金顶2024年年度报告的信息披露监管问询函的回复1784019190446.pdf,4,needs_ocr,extracted text has fewer than 40 characters
600678_2024_supporting_5af803c2,四川金顶,600678,supporting,02_raw_pdf/600678_四川金顶/supporting/600678_中审亚太关于四川金顶2024年年度报告的信息披露监管问询函的回复1784019190446.pdf,5,needs_ocr,extracted text has fewer than 40 characters
600678_2024_supporting_5af803c2,四川金顶,600678,supporting,02_raw_pdf/600678_四川金顶/supporting/600678_中审亚太关于四川金顶2024年年度报告的信息披露监管问询函的回复1784019190446.pdf,6,needs_ocr,extracted text has fewer than 40 characters
600678_2024_supporting_5af803c2,四川金顶,600678,supporting,02_raw_pdf/600678_四川金顶/supporting/600678_中审亚太关于四川金顶2024年年度报告的信息披露监管问询函的回复1784019190446.pdf,7,needs_ocr,extracted text has fewer than 40 characters
