document_id,company,stock_code,report_year,document_type,supporting_subtype,relative_path,filename,file_size,is_missing,parse_status,page_count,notes
600373_2024_annual_report_71f1564c,中文传媒,600373,2024,annual_report,,02_raw_pdf/600373_中文传媒/annual_report/600373_中文传媒2024年年度报告1783930992444.pdf,600373_中文传媒2024年年度报告1783930992444.pdf,1725238,False,partial_needs_ocr,296,needs_ocr_pages=2
600373_2024_missing_notice_inquiry_d36f27cf,中文传媒,600373,2024,missing_notice,,02_raw_pdf/600373_中文传媒/inquiry/MISSING.txt,MISSING.txt,1284,True,skipped_missing,0,missing marker under inquiry
600373_2024_reply_9d97f766,中文传媒,600373,2024,reply,,02_raw_pdf/600373_中文传媒/reply/600373_中文传媒关于上海证券交易所对公司2024年年度报告的信息披露监管问询函的回复公告1784018954326.pdf,600373_中文传媒关于上海证券交易所对公司2024年年度报告的信息披露监管问询函的回复公告1784018954326.pdf,841553,False,success,103,
600373_2024_supporting_f987686d,中文传媒,600373,2024,supporting,,02_raw_pdf/600373_中文传媒/supporting/600373_大信会计师事务所特殊普通合伙关于《关于中文天地出版传媒集团股份有限公司2024年年度报告的信息披露监管问询函》的回复1784018953701.pdf,600373_大信会计师事务所特殊普通合伙关于《关于中文天地出版传媒集团股份有限公司2024年年度报告的信息披露监管问询函》的回复1784018953701.pdf,2098163,False,success,121,
600678_2024_annual_report_0a4f1cbf,四川金顶,600678,2024,annual_report,,02_raw_pdf/600678_四川金顶/annual_report/600678_四川金顶2024年年度报告1784017282544.pdf,600678_四川金顶2024年年度报告1784017282544.pdf,1421452,False,success,205,
600678_2024_missing_notice_inquiry_09fb4772,四川金顶,600678,2024,missing_notice,,02_raw_pdf/600678_四川金顶/inquiry/MISSING.txt,MISSING.txt,1314,True,skipped_missing,0,missing marker under inquiry
600678_2024_reply_a6d5d374,四川金顶,600678,2024,reply,,02_raw_pdf/600678_四川金顶/reply/600678_四川金顶集团股份有限公司关于上海证券交易所对公司2024年年度报告的信息披露监管问询函的回复公告1784019190299.pdf,600678_四川金顶集团股份有限公司关于上海证券交易所对公司2024年年度报告的信息披露监管问询函的回复公告1784019190299.pdf,473887,False,partial_needs_ocr,33,needs_ocr_pages=1
600678_2024_supporting_5af803c2,四川金顶,600678,2024,supporting,,02_raw_pdf/600678_四川金顶/supporting/600678_中审亚太关于四川金顶2024年年度报告的信息披露监管问询函的回复1784019190446.pdf,600678_中审亚太关于四川金顶2024年年度报告的信息披露监管问询函的回复1784019190446.pdf,7948880,False,needs_ocr,26,needs_ocr_pages=26
600682_2024_annual_report_062c7ecc,南京新百,600682,2024,annual_report,,02_raw_pdf/600682_南京新百/annual_report/600682_南京新百2024年年度报告1784024827668.pdf,600682_南京新百2024年年度报告1784024827668.pdf,1885832,False,partial_needs_ocr,314,needs_ocr_pages=1
600682_2024_inquiry_71cb8898,南京新百,600682,2024,inquiry,,02_raw_pdf/600682_南京新百/inquiry/600682_南京新百收到上海证券交易所关于公司2024年年度报告的信息披露监管问询函的公告1784025288773.pdf,600682_南京新百收到上海证券交易所关于公司2024年年度报告的信息披露监管问询函的公告1784025288773.pdf,104196,False,success,3,
